16,88,3,24,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  ,,,2018-Cold,2016-Warm,1997-Warm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NS20,2018-Cold,215,227,107,107,142,142,194,194,190,194,134,134,123,129,249,249,270,286,178,180,129,129,140,140,184,190,147,152,193,196,119,140
NS21,2018-Cold,215,224,107,107,136,142,203,203,194,198,134,134,129,129,249,249,286,286,178,178,129,129,140,140,178,184,147,152,196,199,128,137
NS22,2018-Cold,215,221,107,107,142,142,194,203,190,194,134,134,123,129,249,249,270,286,180,178,129,129,140,140,184,190,147,152,187,190,119,119
NS23,2018-Cold,215,230,107,107,142,142,194,203,194,200,134,134,123,123,249,249,286,286,172,178,129,129,144,144,193,196,152,157,193,193,128,128
NS24,2018-Cold,215,224,107,107,142,142,203,203,190,194,134,134,129,129,249,249,286,286,178,180,0,0,140,140,163,190,147,152,0,0,119,134
RM01,2016-Warm,215,227,107,107,136,142,194,194,194,194,134,134,123,123,249,249,286,286,172,178,129,129,140,140,181,196,152,157,193,196,128,137
RM02,2016-Warm,215,227,107,107,136,142,188,194,194,198,130,134,123,129,246,249,270,286,172,178,121,129,140,140,190,196,152,152,196,199,119,137
RM03,2016-Warm,215,215,107,111,136,142,194,194,182,194,130,134,115,123,249,249,286,286,172,178,121,129,144,144,175,181,152,157,187,196,128,134
RM04,2016-Warm,215,224,107,107,136,142,194,194,194,194,134,134,123,129,249,249,286,286,178,180,129,129,144,144,175,187,152,152,190,193,128,134
RM05,2016-Warm,215,215,107,107,136,142,188,194,182,194,130,134,121,129,249,249,286,286,172,180,121,129,140,140,175,202,152,152,187,193,128,137
RM06,2016-Warm,215,224,107,107,142,142,194,203,194,194,134,134,123,129,249,249,286,286,178,178,129,129,140,140,175,190,152,152,193,196,128,140
RM07,2016-Warm,224,224,107,107,136,142,194,194,182,194,134,134,115,123,249,249,286,286,172,172,121,129,140,140,175,196,152,152,193,193,128,140
RM08,2016-Warm,215,224,107,107,133,136,194,194,182,194,134,134,123,123,249,249,270,286,178,178,129,129,140,144,175,178,152,152,187,196,0,0
RM09,2016-Warm,215,227,107,107,142,142,194,194,194,194,134,134,123,129,249,249,270,286,172,180,129,129,0,0,175,178,152,152,193,196,137,137
RM10,2016-Warm,215,215,107,111,142,142,194,194,194,198,134,134,123,123,249,249,270,286,178,180,129,129,144,144,175,190,152,152,187,196,131,140
RM11,2016-Warm,215,224,107,107,142,142,194,203,182,194,130,134,123,129,249,249,270,286,172,178,121,129,144,144,175,190,152,157,193,196,128,140
RM12,2016-Warm,215,215,107,107,136,142,194,194,194,198,134,134,123,123,249,249,270,286,172,178,129,129,144,144,172,193,152,157,193,193,131,134
RM13,2016-Warm,215,215,107,107,142,142,194,203,182,194,130,134,121,129,249,249,270,270,172,180,121,129,144,144,175,196,152,152,187,193,140,140
RM14,2016-Warm,215,215,107,107,136,142,194,203,182,194,130,134,115,123,246,249,270,286,178,180,121,129,144,144,190,193,152,157,193,196,128,140
RM15,2016-Warm,215,215,107,111,136,142,194,194,182,194,130,134,129,129,249,249,270,270,180,180,121,129,140,140,190,193,152,152,196,199,119,128
RM16,2016-Warm,215,215,107,111,136,142,194,194,194,198,134,134,123,129,249,249,286,286,172,180,129,129,140,140,172,175,152,152,193,202,134,137
RM17,2016-Warm,215,227,107,107,136,142,194,203,194,198,134,134,123,123,249,249,270,286,172,180,121,129,0,0,163,190,152,152,193,196,128,140
RM18,2016-Warm,215,218,107,111,142,142,194,203,188,198,130,134,123,129,0,0,270,286,172,180,121,129,140,144,178,184,152,152,193,196,128,137
RM19,2016-Warm,215,215,107,107,142,142,194,194,182,194,130,134,129,129,0,0,286,286,178,178,121,129,140,144,181,184,152,152,187,193,140,143
RM20,2016-Warm,215,224,107,107,136,142,194,203,182,194,130,134,123,129,249,249,286,286,178,178,121,129,144,144,175,190,152,152,193,196,137,140
RM21,2016-Warm,215,215,107,107,142,142,194,203,182,194,130,134,123,129,249,249,286,286,172,178,129,129,140,144,163,184,152,152,193,196,128,128
RM22,2016-Warm,215,215,107,107,136,136,203,203,182,194,134,134,123,129,246,249,286,286,178,178,121,129,140,144,175,181,152,157,196,196,128,131
RM23,2016-Warm,215,227,107,107,142,142,194,194,182,194,130,134,129,129,249,249,270,286,178,180,121,129,144,144,175,178,152,157,190,193,128,131
RM24,2016-Warm,215,224,107,107,142,142,194,203,194,198,130,134,123,129,249,249,270,286,178,178,0,0,140,144,181,199,152,157,190,193,128,131
RM25,2016-Warm,224,224,107,107,142,142,194,194,182,194,130,134,129,129,249,249,270,286,172,178,129,129,140,140,181,193,157,157,187,196,0,0
RM26,2016-Warm,215,224,107,107,142,142,194,194,194,198,130,134,123,123,246,246,270,286,172,180,121,129,140,140,184,196,152,152,187,193,128,128
RM27,2016-Warm,215,215,107,107,136,142,194,194,194,198,134,134,129,129,246,246,286,286,172,180,129,129,144,144,172,187,152,157,193,196,131,134
RM28,2016-Warm,224,224,107,107,136,142,194,203,182,194,130,134,123,129,249,249,270,270,172,172,121,129,140,144,169,187,152,152,193,196,131,137
RM29,2016-Warm,215,227,107,107,142,142,194,194,194,194,134,134,129,129,249,249,270,270,172,178,121,129,140,144,172,175,157,157,187,196,128,140
RM30,2016-Warm,224,227,107,107,142,142,194,194,194,198,130,134,123,123,249,249,286,286,172,178,121,129,140,144,175,193,152,152,187,193,128,131
RM31,2016-Warm,215,215,107,107,136,136,194,194,194,198,134,134,123,129,246,249,286,286,172,180,129,129,144,144,178,202,152,157,193,196,0,0
RM32,2016-Warm,215,224,107,107,136,142,194,203,182,194,134,134,129,129,249,249,286,286,172,180,129,129,140,144,184,190,152,152,193,196,128,137
BI01,1997-Warm,215,224,107,107,142,142,194,194,194,194,134,134,129,129,249,249,286,286,172,180,129,129,0,0,175,187,152,157,193,193,128,134
BI02,1997-Warm,215,224,107,107,136,142,194,194,194,198,134,134,123,129,249,249,286,286,178,178,121,129,140,140,178,190,152,157,193,196,128,134
BI03,1997-Warm,215,215,107,107,142,142,194,203,198,198,134,134,129,129,249,249,270,286,172,178,129,129,140,144,178,190,152,157,187,196,119,140
BI04,1997-Warm,215,215,107,107,136,142,0,0,194,194,134,134,123,129,249,249,286,286,172,180,121,129,140,144,178,190,152,157,187,196,119,140
BI05,1997-Warm,215,224,107,107,142,142,194,194,194,198,134,134,123,129,249,249,286,286,172,178,121,129,140,140,178,187,152,157,187,196,137,137
BI06,1997-Warm,215,218,107,111,142,142,194,194,194,194,134,134,123,129,249,249,286,286,178,180,121,129,140,140,181,190,152,157,193,193,119,131
BI07,1997-Warm,224,224,107,111,142,142,194,194,194,198,134,134,129,129,249,249,286,286,172,178,129,129,140,144,178,187,152,152,187,196,128,128
BI08,1997-Warm,215,215,107,107,142,142,194,194,194,194,134,134,129,129,249,249,286,286,172,178,129,129,140,140,169,178,152,152,187,196,140,140
BI09,1997-Warm,215,218,107,107,136,136,194,203,194,194,134,134,123,129,249,249,286,286,180,180,129,129,140,140,178,193,152,157,196,196,134,143
BI10,1997-Warm,215,215,107,107,136,142,194,203,194,194,134,134,123,123,249,249,286,286,172,180,129,129,140,140,181,199,152,157,196,196,137,140
BI11,1997-Warm,215,215,107,107,136,142,194,194,194,194,134,134,123,129,249,249,286,286,178,180,129,129,140,144,166,172,152,152,190,196,128,137
BI12,1997-Warm,215,224,107,107,136,142,194,194,194,194,134,134,129,129,249,249,270,286,178,178,129,129,140,140,181,190,152,157,196,199,131,137
BI13,1997-Warm,215,215,107,111,136,142,194,194,194,194,134,134,129,129,249,249,270,286,172,172,129,129,140,140,181,199,152,157,196,199,131,140
BI14,1997-Warm,215,224,107,107,136,142,194,194,194,194,134,134,123,129,249,249,286,286,172,172,129,129,140,144,163,187,152,152,190,196,131,143
BI15,1997-Warm,215,215,107,107,142,142,0,0,194,198,134,134,123,123,249,249,286,286,172,178,129,129,140,144,193,199,152,152,196,199,137,143
BI16,1997-Warm,215,215,107,107,142,142,194,203,194,198,134,134,123,129,249,249,270,286,172,178,129,129,140,140,178,187,152,157,196,199,134,140
BI17,1997-Warm,215,215,107,107,142,142,194,203,194,198,134,134,129,129,249,249,270,286,172,180,129,129,140,144,187,190,152,152,181,187,119,119
BI18,1997-Warm,215,227,107,107,136,136,194,194,194,194,134,134,129,129,249,249,270,286,172,178,129,129,140,140,178,187,152,152,190,199,119,119
BI19,1997-Warm,215,224,107,107,136,136,194,194,194,194,134,134,129,129,249,249,270,286,180,180,129,129,140,140,172,178,152,157,190,199,119,131
BI20,1997-Warm,215,215,107,107,136,142,194,194,194,194,134,134,129,129,249,249,270,286,172,172,129,129,140,144,190,193,152,152,187,190,125,137
BI21,1997-Warm,215,215,107,107,142,142,194,194,194,194,134,134,123,129,249,249,286,286,172,172,129,129,140,144,169,175,152,152,187,193,125,137
BI22,1997-Warm,215,227,107,107,136,136,194,194,194,194,134,134,129,129,249,249,286,286,172,178,129,129,0,0,175,184,152,157,187,193,125,137
BI23,1997-Warm,215,215,107,107,142,142,0,0,194,194,134,134,129,129,249,249,270,286,178,180,0,0,0,0,175,190,152,157,190,196,125,128
BI24,1997-Warm,215,224,107,107,136,142,203,203,194,194,134,134,129,129,249,249,286,286,178,178,129,129,140,140,169,178,152,157,190,193,116,125
BI25,1997-Warm,215,227,107,107,136,142,194,203,194,198,134,134,129,129,249,249,286,286,172,178,129,129,144,144,0,0,152,152,193,199,119,128
BI26,1997-Warm,215,227,107,107,136,142,194,203,194,194,134,134,129,129,249,249,286,286,172,172,0,0,144,144,175,178,152,157,193,196,128,131
BI27,1997-Warm,224,227,107,107,136,142,194,194,194,194,134,134,123,129,249,249,286,286,178,178,129,129,140,144,175,190,152,152,187,193,128,131
BI28,1997-Warm,224,227,107,107,142,142,194,194,194,194,134,134,129,129,249,249,286,286,178,178,129,129,140,140,172,184,152,152,187,193,125,128
BI29,1997-Warm,224,224,107,107,142,142,194,194,194,194,134,134,123,129,249,249,286,286,178,178,129,129,140,140,163,193,152,152,193,196,128,137
BI30,1997-Warm,215,227,107,107,136,142,194,194,194,194,134,134,123,129,249,249,270,270,178,180,129,129,140,140,175,193,152,157,193,196,119,128
BI31,1997-Warm,215,224,107,107,142,142,194,194,194,194,134,134,129,129,249,249,286,286,172,178,129,129,0,0,163,169,157,157,196,199,128,140
BI32,1997-Warm,215,227,107,107,136,142,194,203,194,194,134,134,123,129,249,249,270,286,172,178,0,0,144,144,163,169,152,152,196,196,119,128
